Gene,NTG-7,NTG-8,NTG-9,NTG-10,AD-16,AD-17,AD-18,AD-19,AD-20,AD-CP2-21,AD-CP2-22,AD-CP2-23,AD-CP2-24,AD-CP2-25
RP23-271O17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm26206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xkr4,19.346764795531286,21.962869674926203,22.365867747182072,25.649786661701366,18.30695272,24.348660296177517,17.35979248679582,19.23413711177877,21.613990943122758,22.13826674140915,20.374064564857427,22.26668682042473,27.13773769,27.903498166537986
RP23-317L18.1,0.24892151140944102,0,0.13454315530613556,0,0.3993505508095282,0.065729648,0,0,0,0,0.064537357,0,0,0.22684620841366393
RP23-317L18.4,0.2331155693937298,0.23010553439131354,0.1374545183688082,0.083350124,0.16999668711295987,0.1454959210659673,0.098521398,0.237123344,0.041625167055998495,0.2278391249809647,0.2747244723444234,0.11638109653448955,0.075880695,0.23175490607710256
RP23-317L18.3,0.2942914420604229,0.064553665,0.11568421772851781,0.14468226500686632,0,0.028258156,0.079148424,0.31431851449589804,0.1839206049073037,0.17257818898020766,0.11098228930248877,0.132230399,0.047896927428290395,0.1462868518207237
RP23-115I1.6,0.025873176,0,0.041953691,0.050880034,0.055345247,0.10931219015490203,0.010934754159508007,0.014474896221191203,0.12704779767308333,0.069540764,0.026832335644484347,0.056834701,0.069480623,0.18862915554535936
Gm1992,0,0.43244500096607524,0.12916142909389014,0.35244599755672634,0.511168705,0.25240184706766877,0,0.5347605659956879,0.3520240377925793,0,0.37173517801868616,0.13123132445229044,0,0.43554472015423473
RP23-115I1.5,0.20330001904125472,0.070076973,0.14128012419117783,0.099948225,0.062125511,0.030675965856547006,0.12274354571854151,0.21122652400169975,0.11408978700132208,0.1561201976959989,0.090358575,0.19139230595861512,0.07799259,0.1058689159344275
RP23-115I1.2,0.2903188254019399,0.077833873,0.383578758,0.15858801185957808,0.3105101474976893,0.13628609452897883,0.13633016929969755,0.10828035218595192,0.063359258,0.34680264218214873,0.033453489742502354,0.24800736262581885,0.1732513589860245,0.19597944571374853
RP23-115I1.3,1.0710567024788697,0.6341186656485721,0.48242565647618324,0.38029531608876516,1.1349404764042368,0.701814565,0.6370764936676969,0.9099096615962484,0.6915036156284067,0.9809034094549011,0.9050657278011394,0.5990805814140084,0.9676268629866865,0.39765869203988896
RP23-122M2.3,0.3757882283321417,0.2543273760412123,0.2873336486439716,0.3424605683531656,0.4215298848679892,0.18393813647920015,0.4028579510352278,0.5230283228325422,0.2610385879100133,0.6602126273784865,0.17109627708745911,0.2919383560230456,0.22152145225368644,0.2895612847501816
RP23-122M2.2,0.3290516919488327,0.3749268164230558,0.5138000545350586,0.2336698270214934,0.3714888844739797,0.4054803234716221,0.5871708687047439,0.5318151283616847,0.43087397526631493,0.7664890220175103,0.5497919299541972,0.4818775683682635,0.5563694192488775,0.3331890454056263
RP23-122M2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm27396,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-333I7.1,0.06569776,0,0.09469313,0.064597873,0.046844639,0.069392003,0.074042074,0.024503325,0.043013689857353286,0.11771966519819273,0.15897765433350458,0,0.019602976346659175,0.053219051827252534
RP23-177A20.1,0.1759916417035148,0,0.17295317232711585,0,0.1540077110781255,0,0.17580531098337004,0.089508665,0.2514008482717938,0.05160245,0.14933121773648345,0.035144972,0,0.038880978
Rp1,0.022957188,0.007913281,0.021271645107689415,0.029022233,0,0.034640131,0.013860533242371536,0.022017480484012183,0.025766655,0.014103612062392173,0.027209426,0.014408357976755647,0.017614268601345927,0.007970003
RP23-391E12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sox17,2.422446561159774,2.0314282142336237,2.314187382,2.166474419180771,2.2695697690600176,2.3933745976135814,4.211585183157162,2.878596403816897,2.4097761737687042,2.786078124843195,3.1094780363046706,2.646901714,4.241620708464006,3.8714072114854967
RP23-285G23.2,0.020480343756690386,0.049416638,0.12176685979026323,0.10068734931914247,0.2190472681848629,0.086527887,0.15580056646468007,0.068747073,0.050283402,0.077064612,0.10619791395802941,0.022494227708654516,0.12832994045793747,0.18664069255837965
RP23-285G23.3,0.15978913470616074,0.036145519973760885,0.11875423938756197,0.058917752851341744,0.13885809857636552,0.08438711,0.14350448178641517,0.11174368229598962,0.068655084,0.085894817,0.11392753143334303,0.10968850255122906,0.10727566594520808,0.24269738111792866
Gm22307,0,0,0,1.646943913816478,0,0,0,0,0.27416202320294336,0,0,0.30661524404740753,0,0.6784185672184341
RP23-285G23.4,0,0,0,0,0,0,0,0,0.13037927325651086,0,0,0,0,0
RP23-37D15.1,0.043087748098280455,0,0,0,0,0,0.018210131521315537,0,0.021157833741590294,0,0,0.011831168811061164,0,0.026177709
RP23-37D15.2,0,0,0,0.094136217,0.034132525710216084,0,0.05394946,0,0.062682343,0.10292924572457364,0,0,0.057133461,0
Gm6085,0.3657622208465256,0.073545068,0.4393245887547283,0.23975918201137847,0.5216007194246899,0.4292548419518176,0.5152723949857957,0.2273641862226564,0.1995601121273125,0.3713855233490739,0.31610134185262423,0.35709203932596034,0.2364625691013337,0.3456704128208213
RP23-34E15.2,0,0.029881495368026204,0.053549515,0.073060945,0.026490915,0,0.1674848912391641,0,0,0.053256923,0.02568651,0,0.022171193811644375,0
Gm25493,0,0.6997491925017397,0,0.5703009669202691,0,0,1.225647929820582,0.9734719041183639,0.5696181841303871,1.247142705478329,0,0.31852263216575344,0,0
RP23-34E15.3,0.2840308846510262,0,0.051173308,0,0,0,0,0.1059351358945499,0,0.10178739989244684,0,0,0,0.057520433
RP23-34E15.4,10.05931645733195,8.562599800856182,8.85039727,9.066665044724017,7.859995873744128,8.086775736265347,8.172056299896333,8.785530814124666,9.604647117820607,8.501628326002765,7.563367747339966,6.813225918711057,10.705388931121472,6.722626644101846
Mrpl15,7.542436181695752,6.785349274810378,7.331627013783619,6.938594567193318,8.338036715,8.208190148542075,8.073997257,7.860419536698723,6.944113467,8.120240642556821,7.734445251773261,6.730108868606034,7.312355961966876,7.509686663827385
RP23-34E15.5,0.5454627902189491,0.501385508,1.0669857186017009,0.8172660812909597,1.6112926571793138,1.536359069107549,1.8661821957529037,1.9181628997671412,1.0458685180794023,1.898910328080482,1.4276785822456788,0.4564567807036189,1.116040058581278,1.3571320990313112
Lypla1,12.454088439278793,12.341881471471728,10.805632503971003,11.97017430470244,10.579296327113715,11.970983334507524,13.148929391933539,11.479202492594629,12.18986900170478,12.243293322654505,12.64263796480626,11.897143514901488,12.820988531619946,12.674178642230181
RP24-426M1.3,70.06009084760267,59.84339912358819,60.27533357714873,66.64433408,66.76173086987895,75.60582600799715,66.80865730235831,61.74053807,64.57329824558828,66.25199973532848,65.41037172813648,67.52448149,74.28430268708415,70.34707147
Tcea1,74.50319018983271,68.34742833741804,65.77942851,69.39109133201706,78.82706,80.36576876,77.67821018980764,69.02745042092997,72.5750585,70.94441760004521,70.48839899,69.94364259837025,75.22573624339554,72.66296844910998
Gm6104,5.052735156967758,4.840802249620245,4.605258251274689,4.529778575563232,8.477092952507398,4.290412823,4.605834509077013,4.655875574589323,4.0865145349055645,4.580095391843714,4.623571865904056,5.603991052481723,4.6559507004453184,4.875500598741434
RP24-426M1.4,2.876824668314332,3.7626477731821724,4.214313055493715,3.9125418270623684,5.895003630311667,4.430095425580145,4.590608609873453,4.392160364276014,3.881453161979384,5.867800816572094,4.935278015999659,5.344930181337661,5.342878543275582,4.737022533930697
Rgs20,9.822974859299668,9.870029215255432,10.496841784110675,10.961106552935854,17.779060143612682,10.010629992510454,9.780086425,11.684877901710449,10.463559509758195,11.954652777318634,11.926394010507506,10.88950657610124,11.341295259930153,10.514447518074236
Gm17100,0.21963662771421266,0,0.47485819519812544,0.3239393359896382,0.7047362661344615,0,0.18564961289929405,0.24575393657890068,0,0.4722635980303967,0,0.36185107845300674,0.19660632159443467,0.800633677
RP24-141F9.2,0.19587266471562573,0.20255035174055044,0.1512428912106442,0.082540046,0.22445932598193621,0.029555251,0.10643331437411517,0.17220041645060208,0.19236286218173732,0.10529155628218681,0.14509569789956525,0.061466663,0.10019094983360417,0.23800257931925395
Gm16041,0.184435804,0.3289290835088715,0.32940498695086073,0.1655786565702741,0.26587633986782006,0.20327665535651177,0.15589583601315216,0.2871197669775505,0.17325567855563187,0.15518138093669948,0.14969201799410178,0.11449712871676346,0.17945274991169877,0.3897491902946172
Gm17101,0.037620379558101914,0.045386755,0.040667956,0,0.040236831,0,0.031798926,0,0,0.040445749,0,0.041319687,0,0
Atp6v1h,48.31212539725449,46.67515944314563,43.21063406,45.47816667631641,47.75160659669523,50.92840470537355,47.70398812,43.885510485371036,44.14146414108502,43.277681773458205,44.50256709966161,44.68072464229558,46.952801142656796,42.98765908013828
RP23-267J18.2,0,0,0,0.080247267,0.043644868940932044,0,0,0.045659201,0,0,0,0,0,0
RP23-267J18.1,3.1980789179764955,3.0834713759099266,3.244621244240987,3.067213230163115,2.481265379,2.602651779767537,2.9580117347955968,2.669109889513361,2.4456840419990518,3.071889239667662,3.1807090703661167,2.4184798714331714,2.6515541467865487,3.376315660110347
RP23-335P21.1,0,0,0.031781848,0,0,0,0,0,0,0,0,0,0.013158690815375549,0
Oprk1,1.628829647382508,1.7484936111621443,1.7184355799564117,2.77946157,8.808317689366753,2.8271434077626543,2.676308265072109,2.384976024445308,1.8849500439117457,2.965388082485695,2.7318534282326135,2.7785017061120394,2.544989447141335,2.5384167568090032
RP23-238E7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm22463,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-354J2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Npbwr1,1.2702278642886968,1.4836502380562349,1.0582701056582275,1.7342277777935702,0.8739849541010258,1.0254679593756857,2.044760525172506,1.7200113004330426,1.652695013110701,1.7570457157490598,1.7704072445364476,1.6172874492359735,2.18716545,1.808871174349476
RP23-74E8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rb1cc1,23.99406808412311,22.473500418937004,21.422860584565235,24.11420000301609,23.229207532724686,23.88066829089014,22.983042942256837,21.175189702696844,22.599591761394485,22.66338032764577,22.74315801526849,22.313345177039373,25.553521868314533,26.061525460556318
4732440D04Rik,4.055751376022654,3.1734940810271426,3.741826588985671,3.901276778408249,3.8787326895133245,4.161747478363367,3.9305183335274263,4.020802431779479,3.9236282767964346,3.135663241159819,4.257468109830813,3.8017917778413173,3.881707124655928,4.426593661601932
Fam150a,0,0.037113371,0.06650949,0,0.065804416,0,0,0.068841473,0,0.066146086,0.095709366,0.20272604189334256,0,0.11213818747534365
RP23-76C20.3,0.8881706510383811,0.9587330485685027,0.5558590453962408,0.5975219050909549,0.6999571469587974,1.1356108142715926,1.1063438590305348,1.0983931813291712,0.8263475065553505,1.0553871955984453,0.8241390227331331,0.7701368805885588,0.7113518239848716,0.9656051437952518
RP23-76C20.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-76C20.4,1.6748626198145171,1.869473422130752,1.5610570072605927,1.718141820318846,1.8336625732534628,2.047630878529101,1.9563289009626268,2.1396325074330775,1.8261732644868902,2.0204124789909685,1.8053364053887628,1.6005586481212024,2.0422752911584365,2.0030570279352222
St18,11.330857907969358,6.623152087815818,7.398208403776736,8.274084178408605,5.332911439647041,7.609345598284646,8.850983153597284,7.916135776409713,6.7211685227259945,9.414586516,7.706143851253704,6.232675836456244,8.641188488593018,9.247913496467934
RP23-299N6.2,1.7727652064699815,0.7417581491699404,0.9969578575000095,0.7153706639944989,0.6247130400313716,0.9632832070764374,0.7535527340735667,0.9860507863556852,0.6641962977218476,0.6610070257166445,0.6269975844225981,0.5852511896671615,1.054862047937207,0.8466849905799875
RP23-299N6.1,0,0.054354575,0,0,0,0,0.038081972,0,0.04424636,0.048437292,0,0,0,0
RP23-5K7.4,1.049764840448761,2.5329579396308985,0.7737306055943897,0.23458865652071773,2.7559015646919516,0.45359756861202455,0.2419969394981213,0.9610313686024742,0.18744623950616576,2.411109359912377,2.325819138295827,2.6728424708733276,0.170852778,0.17393958472613208
RP23-76C20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-5K7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-5K7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-5K7.1,0,0,0,0.045819812,0.1495228271361728,0,0.039388997,0.052141241,0,0.10019945293624642,0,0,0.1668546629444188,0
Pcmtd1,56.43268385803576,48.363564004446594,49.02272154743305,51.63010762224511,58.816281904619416,58.064942500576194,57.08388001174469,54.13707337974831,53.07165322797152,55.15930943920641,54.502351080362175,50.31125769128237,58.21461770478603,56.95769421714406
Gm26983,0.23095810336958447,0.2786372428905124,0.4993354217547299,0.15139432884739104,0.4940419185272514,0.3252601122006041,0,0.602983886,0.3024261493063396,0.6621427766199376,0.1596800592863772,0.16911253151068353,0,0.18708965642364034
WI1-817D1.2,4.790564936559053,3.4176181390483436,4.849966770221172,3.696833018066457,5.877234521347773,3.305411477859863,2.7266710772398794,3.825171004903366,4.085681173486366,4.695904078528661,5.145043737473126,3.420876133935078,5.025077959481191,7.4158661181507615
Gm9826,0.29893576427923635,0.19419521470121417,0.3480100091059395,0.45220169047565606,0.2705377095553385,0.38860946430741916,0.7191600093219765,0.5403181238409087,0.33874522497361365,0.49444071849217824,0.2861702679127684,0.7576866307868962,0.3499259549856297,0.4191153966072313
Nras-ps2,0,0,0,0,0,0.17724848810931795,0,0,0,0,0,0,0,0.4078134083841149
Gm23274,0,0,0,0,0,0.2426940837189123,0,0,0,0,0,0,0,0
RP23-278C19.1,0,0,0,0,0,0,0,0.066052441,0,0,0,0,0,0
Gm26901,0.31667359828995495,0.21594011725278398,0.3497687927755725,0.2775271932823573,0.4344168241117707,0.3853796351286715,0.34913593944647137,0.3851409930252419,0.40565111522537367,0.4070674940386457,0.48548037384325604,0.3175683122261004,0.3697413192465054,0.28440732283252634
RP24-263A16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP24-181G14.2,0.069038324,0.055527093,0.037315513,0.033941255542828036,0.04922657,0.048613607,0.058355194193306606,0.14162091260479023,0.033900619972320814,0.049482164354494575,0.023865894839412313,0.063189197,0.030899606783717008,0.055925105
RP24-181G14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-404K2.2,0.028516068132823792,0.034402944,0.030826117,0.070096658,0.091497978,0.015059776078023198,0.072310303,0,0.028005094494238606,0.045986527,0.059146409,0.093960376,0.038288964,0.017324770093644977
RP23-404K2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082395899
RP23-408B17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sntg1,6.492771216,7.4333917932837466,7.267402558340215,6.798726804720801,8.048517151628776,8.228860181833491,7.390719939704129,7.038097153993028,7.212813755651034,7.854780987263172,7.071420007231149,7.374844324280715,7.986239624370634,7.939201368170181
RP23-241G23.1,0.20055287649101886,0.014232655376713902,0.19129358574332067,0.139196681,0.088323976,0.049842387,0.059830207,0.079200321,0.10427252304282561,0.12683224591653622,0.1101111309297056,0.051829117082263204,0.1372827711607269,0.35836683793627794
Gm16284,0.7467645342283231,0.9009270853459901,0.8072589318368133,1.2482462413467392,1.118181542266679,0.6310046176691719,0.5680878154718397,0.6684507074946099,0.8800600944814482,1.4451266099730138,0.8518931162928225,0.4921174666960891,0.8689999414474012,0.9981233170201212
RP23-311L17.1,0.11833280678207724,0.061183503,0.14619290220021522,0.11635172528282797,0.018080387,0,0.057155285465317465,0.037829695,0.049805325,0.009087132,0.052594111,0.037133934,0.060528488368631846,0.030811030005251466
Gm23358,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP24-442E5.1,0.10264804594203754,0.092879081,0,0,0.1646806395090838,0,0,0.1148540734526821,0,0,0,0.11274168767378903,0.091884741,0.031181609403940058
