Gene,NTG-7,NTG-8,NTG-9,NTG-10,AD-16,AD-17,AD-18,AD-19,AD-20,AD-CP2-21,AD-CP2-22,AD-CP2-23,AD-CP2-24,AD-CP2-25
70484,0.472469653,0.395837911,0.439807151,0.529081938,0.617624753,0.984211948,1.076049953,1.145412021,0.940896117,1.030016037,1.048023166,0.533343476,0.798864351,0.877085516
70503,9.130441038,6.907107654,6.425781097,7.851713612,6.67714121,7.004151256,7.077953375,8.522746521,6.365768017,6.326443159,8.611864957,6.506886504,6.996563631,6.884026271
70750,11.20467616,9.483675812,10.8321525,11.37759879,11.87806867,11.16476195,11.5410391,10.6212034,11.64123516,11.95945102,10.90900767,9.656705414,12.14668461,12.18459566
70757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70789,0.092298105,0.041024489,0.036759229,0.047764677,0.228608544,0.153928594,0.14371315,0.173934157,0.085873485,0.172346644,0.191439486,0.085367588,0.078271634,0.112150345
70881,0.169158554,0.068026585,0.076192443,0.027721095,0.060307775,0.148892076,0.047660873,0.063091147,0.096907671,0.090931358,0.058476511,0.061930781,0.050473732,0.017128548
71147,7.259092778,5.923783187,6.913711969,7.662808007,7.591769413,7.419946509,6.537849866,7.876648464,6.546911204,7.552515355,8.226378674,6.968248304,8.16171505,7.308871468
71279,9.804964574,7.610162284,8.490471042,10.28017837,10.85379214,12.17339214,13.29065388,14.79207856,12.28926335,13.79456551,13.38093716,9.346351613,11.83843701,12.16897315
71336,3.811558402,2.347613896,3.491435541,2.939022478,3.390054374,3.47497506,3.289576485,3.726085206,3.132517462,3.817437653,3.224700727,3.547388052,3.842867954,4.387623104
71412,0.329801372,0.227363302,0.254655814,0.231628547,0.201564947,0.124409428,0.278767242,0.210867731,0.185080987,0.101305756,0.293166544,0.155242103,0.12652268,0.400737781
71522,0.213596016,0.198223781,0.177614726,0.193864685,0.123012271,0.06941745,0.277759597,0.294147726,0.177496535,0.300295225,0.238553928,0.144368894,0.308860096,0.239573553
71562,2.971021374,1.96528881,2.32665756,2.539523294,1.778402001,2.549693708,2.689637455,2.483788303,2.403856338,2.813030982,2.407157718,3.031410222,3.007037857,2.779330771
71679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71685,9.32757496,9.278807753,11.25452991,11.54939437,10.92613549,10.38892232,9.923714686,9.993013101,10.58661171,10.27429415,10.18309715,10.77235442,10.45939749,11.61886937
