Gene,B4APH9540922,B4APH9550922,B4APH9500922,B4APH9560922,B4APH9690922,B4AP9010922,B4AP8920922,B4AP9020922,B4AP9530922,B4AP9060922,B4AP9200922,B4AP9480922,B4AP9490922,B4AP9750922,B4AP9400922
Blvrb,595.8270047,611.5303475,506.0731717,432.6486218,548.9997288,649.5692846,519.1048337,493.4973887,629.70341,739.0948737,639.0250347,613.020952,642.1231957,651.6186543,573.6874286
Blzf1,852.6791152,968.2563835,971.6999495,915.1366681,1046.844741,1291.119195,888.7553008,1006.952392,963.3522317,946.7500247,986.6380015,1080.084535,628.8519691,1055.208839,957.2080985
Bmal1,1448.50612,1228.260783,1665.207629,1250.227267,1191.17412,1017.458062,1212.573095,964.3156696,1044.179834,1380.759132,1667.293332,1328.212063,1231.161485,1217.29762,1403.409432
Bmal2,341.595834,284.9648218,271.2867879,274.6470418,354.4291094,277.6708207,264.0360479,167.8253987,234.9639589,247.0210563,314.3087304,163.6807644,318.5094389,286.1030152,366.5225238
Bmerb1,10411.24694,10831.78328,9643.998686,9964.703673,11233.94121,11372.47459,10625.20911,11404.8698,10145.74375,11041.15231,10977.9089,11039.5899,9986.0876,11696.50045,11535.36685
Bmf,290.0506826,281.844769,325.5441455,281.0095215,198.2245277,431.0413463,468.2903491,371.9373702,234.0241031,289.3394046,217.5182936,326.3189762,303.1964851,206.6903912,270.9079524
Bmi1,2615.698023,3083.652177,3174.548667,2763.43703,2977.021824,3560.602005,3149.501688,3058.958079,3017.877089,3301.815315,3287.752581,3250.67913,3057.486441,3395.161636,3166.967083
Bmp1,2359.719559,2035.314439,2201.862221,1700.902915,2075.41994,1768.271941,2107.306571,1622.916964,2769.755148,2267.476151,2182.468237,1634.722539,2378.612156,2624.967968,1652.007318
Bmp15,10.48375961,1.040017598,11.83796893,14.84578604,0.913477086,0,0,27.21492953,20.67682839,11.80977162,27.05969202,12.51063167,4.083454345,0,29.74675556
Bmp2,305.776322,242.3241003,304.8276999,252.3783627,247.5522904,293.7095685,336.7705063,344.7224407,209.5878514,247.0210563,326.7978191,230.4041333,270.5288503,192.548417,201.8529841
Bmp2k,1694.874471,1627.62754,1849.682645,1630.915638,2109.218592,1845.458415,1675.881632,1924.095518,1667.304253,1832.482896,1681.863935,1902.658567,2134.625759,1902.639443,1686.00361
Bmp3,625.5309902,829.934043,780.3194518,641.5500396,1121.749862,718.7363844,1001.344257,1236.464965,952.0739617,820.7791274,1254.11265,713.1060054,737.0635092,819.1466556,1322.668238
Bmp4,232.3900047,100.881707,288.0572439,535.5087108,222.888409,355.8597161,663.5773882,171.454056,246.242229,507.8201796,744.1415306,197.0424489,358.3231188,477.563588,401.5812
Bmp5,67.27079085,90.481531,177.5695339,257.6804291,53.89514808,218.5279383,189.3088645,68.03732382,160.7153479,161.4002121,284.1267662,60.46805309,162.3173102,241.5014044,206.1025207
Bmp6,1688.758944,1050.417774,2367.593786,1999.939462,1365.648244,2200.315709,1817.365099,1643.781743,1827.079745,2099.186905,2705.969202,1469.999222,2167.293394,2537.940435,2356.367994
Bmp7,1410.939315,918.3355388,1920.710459,2376.38618,1601.325332,2107.090488,1910.026807,1969.453733,1486.851932,1938.770841,2627.912398,1305.275905,2365.340929,2190.918147,2204.447064
Bmp8a,0,15.60026397,0,0,0,28.06780859,0,26.30776521,12.21812587,0,0,12.51063167,0,10.87844164,0
Bmp8b,0.873646634,4.160070391,0,49.83942457,5.480862517,16.03874777,43.83994757,0,3.759423343,19.6829527,24.97817725,17.72339487,29.605044,15.2298183,3.187152381
Bmper,490.1157619,566.8095908,575.1279904,488.8505261,518.8549849,421.0171289,471.2794364,424.5529006,461.4692154,539.3129039,520.3786928,492.0848459,467.5555225,423.1713798,395.2068953
Bmpr1a,4272.132042,4199.59106,4513.225654,3897.018836,4055.838263,4128.975129,4700.838015,4587.529954,4115.628705,4431.616799,4599.106887,4068.040399,4213.10402,4218.659668,3857.516765
Bmpr1b,1860.867331,1835.63106,1730.316458,1576.83456,1404.014281,1394.368634,1611.118073,1709.097574,1451.13741,1629.748483,1520.54654,1621.169354,1502.711199,1409.846037,1603.137648
Bmpr2,10869.91143,11093.86771,11350.63921,11667.72742,12522.85737,11648.14057,11382.44457,13309.91487,11593.12173,10819.7191,12612.93876,11786.05759,10536.33307,11220.02471,11060.48115
Bms1,1535.870783,1620.347417,1616.869256,1774.071432,1748.395143,1638.959538,1530.412715,1387.054242,1690.800649,1594.319168,1753.676195,1337.595037,1656.8616,1459.886868,1527.708375
Bmt2,1891.444963,1701.46879,1952.278376,1664.848863,1928.350129,1730.179916,1790.463313,2423.035892,1899.448644,1820.673124,1876.485566,1929.764936,1799.782502,1614.36074,1870.858448
Bmx,46.30327162,17.68029916,106.5417203,57.26231759,53.89514808,102.247017,114.5816812,61.68717359,97.74500692,118.0977162,60.36392836,62.55315837,128.6288119,114.2236372,66.93020001
Bmyc,988.9679901,1061.857967,1108.82309,1078.440315,1074.249053,1176.843118,1110.944126,998.7879136,1103.390751,1093.388022,1005.371634,1223.956799,1160.721898,1092.195541,1198.369295
Bnc1,0,0,0,0,0.913477086,0,13.94907423,0,0.939855836,0,1.040757386,0,0,0,0
Bnc2,40.18774518,123.7620941,188.4210054,221.6263773,67.59730438,236.5715296,51.81084713,189.5973424,74.24861103,104.3196493,193.5808737,87.57442172,113.3158581,158.825248,24.43483492
Bnip1,1010.809156,852.8144301,747.7650373,753.9538482,680.5404292,1007.433844,1015.293331,698.5165245,998.1268976,856.2084423,906.4996828,871.5740066,997.3837237,956.2150203,921.0870382
Bnip2,1867.856504,1291.701856,1777.668334,1174.937924,1750.222097,1845.458415,1400.885597,1549.436654,1746.252143,1688.797341,1393.574139,1563.828959,1645.632101,1690.509831,1412.970889
Bnip3,4717.691826,5383.131086,4582.280472,4501.45441,4524.452008,4981.033604,4373.03477,5054.719577,4837.437987,5127.409177,4715.671714,4844.742116,4645.950181,4869.190479,4358.962073
Bnip3l,8750.44469,9720.004468,9386.522862,8553.293586,7974.654962,9466.87087,8348.520925,10756.24731,9118.481319,9872.969072,8992.143811,10813.35598,8994.829058,9484.913267,8910.215674
