Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1810037I17Rik,2639.07669,0.011200226,0.103966345,0.107729341,0.914210394,0.99947604
1810049J17Rik,5.901404569,-0.060639838,1.526730258,-0.039718764,0.968317342,0.99947604
1810055G02Rik,818.8607032,-0.140927711,0.113054775,-1.24654364,0.212564878,0.99947604
1810062G17Rik,8.68901864,-1.707433516,1.369911894,-1.246381992,0.212624189,0.99947604
2010106E10Rik,3.436872283,-1.446906097,2.599369823,-0.55663726,0.577775291,0.99947604
2010109A12Rik,4.002611823,-2.339225518,1.798462776,-1.300680531,0.193367829,0.99947604
2010315B03Rik,650.9033334,0.138922432,0.154549519,0.898886214,0.368713272,0.99947604
2200002D01Rik,26.15492344,0.17389885,0.730229002,0.238142898,0.811770264,0.99947604
2210016L21Rik,5927.004296,0.002685171,0.061957433,0.043338963,0.965431333,0.99947604
2210408I21Rik,602.4050008,-0.249789731,0.166410116,-1.501048956,0.1333429,0.99947604
2210418O10Rik,1.41106907,0.766568212,2.460743696,0.311518917,0.755406164,0.99947604
2300009A05Rik,243.5330241,0.201148955,0.245531772,0.819237991,0.412650644,0.99947604
2310009B15Rik,455.7181265,0.489037655,0.211917797,2.307676197,0.021017153,0.99947604
2310011J03Rik,1541.365458,0.046169635,0.12137655,0.380383484,0.703660773,0.99947604
2310022A10Rik,1243.49416,0.011409976,0.093351619,0.122225801,0.902720193,0.99947604
2310022B05Rik,7610.416432,0.012456782,0.099372073,0.125354953,0.900242549,0.99947604
2310030G06Rik,129.8555483,-0.072911105,0.24840822,-0.293513254,0.76912987,0.99947604
2310033P09Rik,601.4086365,0.003308514,0.145693781,0.022708683,0.981882649,0.99947604
2310034G01Rik,37.91234251,0.32062102,0.708652319,0.452437693,0.650953698,0.99947604
2310039H08Rik,177.0024378,-0.165085259,0.267251933,-0.617713994,0.536763886,0.99947604
2310057M21Rik,1167.02679,0.136265656,0.106666832,1.277488546,0.201429822,0.99947604
2310061I04Rik,2113.298751,-0.014747886,0.087527235,-0.16849483,0.866194011,0.99947604
2410002F23Rik,2485.898799,-0.143037453,0.097514616,-1.466830915,0.142422058,0.99947604
2410004B18Rik,1230.71156,-0.066256413,0.121798939,-0.543981855,0.586453959,0.99947604
2410004P03Rik,271.7520667,-0.954191811,0.272854702,-3.497069327,0.0004704,0.307195773
2410137M14Rik,6.714491915,-0.027467729,1.721702676,-0.015953817,0.987271236,0.99947604
2510002D24Rik,609.2020353,-0.090267649,0.150543799,-0.599610544,0.548765818,0.99947604
2510009E07Rik,4145.855149,0.10528579,0.078976975,1.333120072,0.182492403,0.99947604
2510039O18Rik,1808.960535,0.070973955,0.097854243,0.725302783,0.468266299,0.99947604
2610008E11Rik,1426.995963,0.002307517,0.087152175,0.02647687,0.978876982,0.99947604
2610021A01Rik,993.5805714,-0.093237716,0.138967194,-0.670933281,0.502263034,0.99947604
2610028H24Rik,6.734589479,1.660233196,1.545419048,1.074293214,0.282691285,0.99947604
2610042L04Rik,21.18219758,-1.046749572,0.931009244,-1.124317056,0.260878545,0.99947604
2610318N02Rik,50.51853725,0.80756818,0.550098308,1.468043381,0.14209244,0.99947604
2610528J11Rik,0.867074173,2.049036635,3.686162825,0.555872524,0.578298002,0.99947604
2700049A03Rik,423.9530438,0.034058542,0.165174765,0.206197005,0.836637027,0.99947604
2700062C07Rik,461.1059793,0.027737961,0.141145969,0.196519685,0.844203427,0.99947604
2700097O09Rik,339.9139315,0.06483072,0.190843262,0.339706623,0.734077474,0.99947604
2810004N23Rik,1047.456069,0.045908519,0.111585784,0.411419064,0.680765277,0.99947604
2810021J22Rik,554.0678477,-0.283779263,0.148140588,-1.915607782,0.055415038,0.99947604
2810408A11Rik,15.81397466,0.016561175,0.847951446,0.019530806,0.984417662,0.99947604
2810459M11Rik,1222.113651,-0.023295322,0.118883531,-0.195950789,0.844648684,0.99947604
2900026A02Rik,3762.414654,0.018839935,0.105686422,0.178262589,0.858516758,0.99947604
3110009E18Rik,63.11419049,-0.505724833,0.421682349,-1.199302826,0.230410217,0.99947604
3110040N11Rik,337.4564047,0.100822574,0.217746471,0.463027361,0.643344755,0.99947604
3110082I17Rik,416.0543379,-0.181344542,0.189762993,-0.955637023,0.33925565,0.99947604
3300002I08Rik,98.87944786,-0.079544145,0.328158114,-0.24239579,0.808473496,0.99947604
3425401B19Rik,34.54283798,1.403431208,0.87019622,1.612775575,0.106793275,0.99947604
3830403N18Rik,25.37276168,-0.323845942,0.936879734,-0.345664369,0.729594965,0.99947604
4833420G17Rik,1431.064588,0.020523229,0.109623666,0.187215309,0.851491822,0.99947604
4833439L19Rik,7515.159889,-0.019945455,0.046137392,-0.432305646,0.665519284,0.99947604
4921504E06Rik,1.410064155,2.856054833,3.381411167,0.844633998,0.398315221,0.99947604
4921524J17Rik,507.313338,0.090934842,0.141458852,0.642835995,0.520330524,0.99947604
4921536K21Rik,40.44823175,-0.386439913,0.583261475,-0.662550039,0.507618777,0.99947604
4930402F06Rik,3.61420782,-1.393416083,2.484790465,-0.560778103,0.574948816,0.99947604
4930444P10Rik,23.11229652,-1.487378736,0.756552254,-1.965996042,0.049299068,0.99947604
4930447C04Rik,267.6548992,-0.27037675,0.319704888,-0.845707278,0.397716062,0.99947604
4930451I11Rik,2.98372372,-2.426476795,2.240890464,-1.082818118,0.278889162,0.99947604
4930453N24Rik,1271.851381,-0.082958238,0.101402092,-0.818111704,0.413293406,0.99947604
4930469K13Rik,4.023438041,-0.580474257,1.514576347,-0.383258499,0.701528107,0.99947604
4930503E14Rik,0.370090818,-0.454845125,3.762021836,-0.120904435,0.903766729,0.99947604
4930503L19Rik,522.5770468,0.015621718,0.186976727,0.083548997,0.93341502,0.99947604
4930505A04Rik,10.07370007,-0.926538398,1.134353525,-0.816798624,0.414043519,0.99947604
4930522L14Rik,162.6329626,0.261566867,0.300942527,0.869158872,0.384760239,0.99947604
4930523C07Rik,147.8853273,0.145291154,0.313952342,0.462780919,0.643521409,0.99947604
4930524B15Rik,9.897066639,0.38054916,1.367743363,0.278231407,0.780834727,0.99947604
4930544D05Rik,1.560506061,-2.985236027,3.665840318,-0.814338806,0.415450885,0.99947604
4930550C14Rik,37.30567801,-0.19593301,0.581917282,-0.33670251,0.736341171,0.99947604
4930556J24Rik,6.735515419,1.199009228,1.461287617,0.82051556,0.411922262,0.99947604
4930562C15Rik,13.80794149,0.067130862,1.024019765,0.065556217,0.947731148,0.99947604
4930563E22Rik,119.4952441,-0.376204919,0.322390561,-1.166922869,0.243241519,0.99947604
4930579G24Rik,77.88068256,-0.040027621,0.39334807,-0.101761326,0.918946124,0.99947604
4930590J08Rik,92.92730189,0.405295138,0.371416706,1.091214074,0.275178696,0.99947604
4931406C07Rik,1459.115741,0.2449203,0.114801741,2.133419741,0.032890309,0.99947604
4931414P19Rik,275.6801245,0.485580823,0.203419761,2.387087769,0.016982436,0.95344486
4931429L15Rik,6.942326706,-1.301065993,1.318462108,-0.986805752,0.323737874,0.99947604
4932438H23Rik,99.65736428,-0.492413839,0.293724488,-1.676448027,0.093650468,0.99947604
4933402J07Rik,0.819811174,-2.058074757,3.695295846,-0.556944516,0.577565338,0.99947604
4933405L10Rik,22.46810819,-1.149532464,0.770238405,-1.492437221,0.135584563,0.99947604
4933405O20Rik,5.675029342,1.603619349,1.745726132,0.918597322,0.358306233,0.99947604
4933407L21Rik,164.3598325,-0.010592217,0.287893917,-0.036792084,0.970650786,0.99947604
4933411K16Rik,7.535565843,-0.097731947,1.372521964,-0.071206108,0.943233721,0.99947604
4933416I08Rik,1453.282837,0.137280324,0.096351283,1.42478979,0.154217974,0.99947604
4933424G06Rik,31.66894735,0.840580376,0.558287429,1.50564088,0.132159388,0.99947604
4933427D14Rik,140.2115758,0.020764037,0.223703107,0.092819617,0.926046866,0.99947604
4933430I17Rik,24.24701238,-1.015405153,0.631169476,-1.608767837,0.107667116,0.99947604
4933434E20Rik,1038.276276,0.030110241,0.108114307,0.278503757,0.780625682,0.99947604
5031410I06Rik,4.04910254,-0.159550335,1.766674647,-0.090311103,0.928039998,0.99947604
