reaction_id,reaction_name,subsystem,genes,minimum,maximum
UAGDP,UDP-N-acetylglucosamine diphosphorylase,Aminosugar metabolism,107652;227620,0.0,0.0
AMY1e,"Alpha-amylase, extracellular (strch1 -> strch2)",Starch and sucrose metabolism,17254;100043686;100043688;20532;109959;30962;11722;100043684,0.0,4.2948360917054943e-13
EX_n5m2masn_e,EX n5m2masn[e],Exchange/demand reaction,,-100.0,0.0
BTNt2i,Biotin uptake,"Transport, extracellular",20501,-1000.0,100.0
HMR_3708,Steryl-Ester Acylhydrolase,Cholesterol metabolism,16889;12613,0.0,9.64561763794336e-13
EX_3octdece1crn_e,Exchange of 3-Hydroxy-Octadecenoyl Carnitine,Exchange/demand reaction,,0.0,0.0
NDP7ex,"Nucleoside-diphosphatase (UDP), extracellular",Nucleotide interconversion,76025;72090;12495;215446,0.0,0.0
r0795,Spontaneous reaction,Miscellaneous,,0.0,0.0
ACOAD8m,Isovaleryl-coa dehydrogenase,"Valine, leucine, and isoleucine metabolism",56357,0.0,0.0
HMR_3714,Steryl-Ester Acylhydrolase,Cholesterol metabolism,16889;12613,0.0,9.094947017729282e-13
DHPM1,"Dihydropyrimidinase (5,6-dihydrouracil)",Pyrimidine catabolism,64705;22240;12934,474.9064025793202,474.90640257935587
ARGORNt7,Arginine/ornithine antiporter,"Transport, extracellular",330836,-1000.0,1000.0
RE1526M,3-Hydroxyacyl Coenzyme A Dehydrogenase,Fatty acid oxidation,74147;15107;15488;15108,-8.910205906431656e-12,1.0646298657472168e-12
PE17_HSABCt,Transport of 1-Heptadecanoylglycerophosphoethanolamine (C17:0 Pe),"Transport, extracellular",320940;50770,0.0,0.0
EX_M01111_e,EX M01111[e],Exchange/demand reaction,,62.36573964014332,100.0
HMR_0272,Palmitoyl Coenzyme A Hydrolase,Fatty acid oxidation,171281;171282;70025;12012;217700;171210,0.0,0.0
NTD6,5'-nucleotidase (dAMP),Nucleotide interconversion,23959;70881;230718;76952;107569;50773,0.0,3.7474023883987684e-11
CYTK10,"Cytidylate kinase (CMP,dGTP)",Nucleotide interconversion,66588,-1000.0,1000.0
PRPPS,Phosphoribosylpyrophosphate synthetase,Pentose phosphate pathway,19139;110639,999.9999999999899,1000.0000000000024
DPGase,Diphosphoglycerate phosphatase,Glycolysis/gluconeogenesis,18648;56012;12183,0.0,0.0
AMY2e,"Alpha-amylase, extracellular (glygn2 -> glygn4)",Starch and sucrose metabolism,17254;100043686;100043688;20532;109959;30962;11722;100043684,0.0,5.968558980384842e-13
HMR_0003,Triacylglycerol Lipase,Glycerophospholipid metabolism,269060;66853;16890;16891;116939;231871;12613;67717;67758;69060;18946;15450;18947,0.0,1.0402345651527867e-11
PHYTt,Fatty acid transport via diffusion,"Transport, extracellular",,0.0,9.29034627006331e-13
EBP2r,"3-beta-hydroxysteroid-delta(8),delta(7)-isomerase",Cholesterol metabolism,13595,0.0,8.408089039827852e-13
ACS2,Acetyl-CoA synthase (propionate),Propanoate metabolism,60525;78894,0.0,1.0231815394945443e-12
PCHOLPALME_HSPLA2,Formation of 1-Palmitoleoylglycerophosphocholine (Delta 9) by Phospholipase A2,Glycerophospholipid metabolism,237625;26971;329502;53357;18780;66350;18784;18783;211429,0.0,0.0
r1900,Y+LAT2 Utilized transport,"Transport, extracellular",330836,0.0,1000.0
r1779,Y+LAT2 Utilized transport,"Transport, extracellular",330836,0.0,1000.0
EX_fvs_e,Exchange reaction for fluvastatin in intestinal lumen,Exchange/demand reaction,,-100.0000000000009,-99.99999999999484
C160CRNt,C160 transport into the mitochondria,Fatty acid oxidation,57279,-1000.0,1000.0000000000036
ACGAMtly,N-acetyl-glucosamine lysosomal efflux,"Transport, lysosomal",,0.0,1000.0
GLUDym,"Glutamate dehydrogenase (NADP), mitochondrial",Glutamate metabolism,14661,-1000.0,342.5902627726191
C4DCCACT,Transport of succinyl carnitine into cytosol,Fatty acid oxidation,57279,0.0,1.9326762412674725e-12
R00100,R01803,,12764,-500.0,-488.00281376565516
