reaction_id,reaction_name,subsystem,genes,minimum,maximum
UAGDP,UDP-N-acetylglucosamine diphosphorylase,Aminosugar metabolism,227620;107652,0.0,1.0231815394945443e-12
AMY1e,"Alpha-amylase, extracellular (strch1 -> strch2)",Starch and sucrose metabolism,100043684;17254;100043686;100043688;20532;30962;109959;11722,0.0,3.789561257387201e-13
EX_n5m2masn_e,EX n5m2masn[e],Exchange/demand reaction,,-100.0,0.0
BTNt2i,Biotin uptake,"Transport, extracellular",20501,-1000.0,100.0
HMR_3708,Steryl-Ester Acylhydrolase,Cholesterol metabolism,12613;16889,0.0,8.242295734817162e-13
EX_3octdece1crn_e,Exchange of 3-Hydroxy-Octadecenoyl Carnitine,Exchange/demand reaction,,0.0,0.0
NDP7ex,"Nucleoside-diphosphatase (UDP), extracellular",Nucleotide interconversion,76025;72090;12495;215446,0.0,0.0
r0795,Spontaneous reaction,Miscellaneous,,0.0,0.0
ACOAD8m,Isovaleryl-coa dehydrogenase,"Valine, leucine, and isoleucine metabolism",56357,0.0,0.0
HMR_3714,Steryl-Ester Acylhydrolase,Cholesterol metabolism,12613;16889,0.0,0.0
DHPM1,"Dihydropyrimidinase (5,6-dihydrouracil)",Pyrimidine catabolism,22240;64705;12934,474.9064025793226,474.90640257935394
ARGORNt7,Arginine/ornithine antiporter,"Transport, extracellular",330836,-1000.0,1000.0
RE1526M,3-Hydroxyacyl Coenzyme A Dehydrogenase,Fatty acid oxidation,74147;15108;15107;15488,-8.640199666842818e-12,0.0
PE17_HSABCt,Transport of 1-Heptadecanoylglycerophosphoethanolamine (C17:0 Pe),"Transport, extracellular",50770;320940,0.0,0.0
HMR_0810,Globoside Alpha-N-Acetylgalactosaminyltransferase,Glycosphingolipid metabolism,227671,0.0,0.0
EX_M01111_e,EX M01111[e],Exchange/demand reaction,,62.365739640160484,100.0
HMR_0272,Palmitoyl Coenzyme A Hydrolase,Fatty acid oxidation,12012;171282;217700;171210;171281;70025,0.0,0.0
NTD6,5'-nucleotidase (dAMP),Nucleotide interconversion,107569;23959;50773;70881;230718;76952,0.0,2.3305801732931286e-11
CYTK10,"Cytidylate kinase (CMP,dGTP)",Nucleotide interconversion,66588,-1000.0,1000.0
PRPPS,Phosphoribosylpyrophosphate synthetase,Pentose phosphate pathway,19139;110639,999.9999999999886,1000.0
DPGase,Diphosphoglycerate phosphatase,Glycolysis/gluconeogenesis,56012;12183;18648,0.0,0.0
AMY2e,"Alpha-amylase, extracellular (glygn2 -> glygn4)",Starch and sucrose metabolism,100043684;17254;100043686;100043688;20532;30962;109959;11722,0.0,3.979039320256561e-13
HMR_0003,Triacylglycerol Lipase,Glycerophospholipid metabolism,15450;269060;18947;16890;18946;16891;116939;12613;231871;67717;67758;69060;66853,0.0,4.092726157978177e-12
PHYTt,Fatty acid transport via diffusion,"Transport, extracellular",,0.0,0.0
EBP2r,"3-beta-hydroxysteroid-delta(8),delta(7)-isomerase",Cholesterol metabolism,13595,0.0,0.0
