reaction_id,reaction_name,subsystem,genes,minimum,maximum
UAGDP,UDP-N-acetylglucosamine diphosphorylase,Aminosugar metabolism,227620;107652,0.0,-9.094947017729282e-13
AMY1e,"Alpha-amylase, extracellular (strch1 -> strch2)",Starch and sucrose metabolism,30962;100043684;17254;100043686;100043688;109959;11722;20532,0.0,-6.315935428978668e-13
EX_n5m2masn_e,EX n5m2masn[e],Exchange/demand reaction,,-100.0,0.0
BTNt2i,Biotin uptake,"Transport, extracellular",20501,-1000.0,100.0
HMR_3708,Steryl-Ester Acylhydrolase,Cholesterol metabolism,16889;12613,0.0,0.0
EX_3octdece1crn_e,Exchange of 3-Hydroxy-Octadecenoyl Carnitine,Exchange/demand reaction,,0.0,0.0
NDP7ex,"Nucleoside-diphosphatase (UDP), extracellular",Nucleotide interconversion,76025;215446;12495;72090,0.0,0.0
r0795,Spontaneous reaction,Miscellaneous,,0.0,-1.4400332778071363e-12
ACOAD8m,Isovaleryl-coa dehydrogenase,"Valine, leucine, and isoleucine metabolism",56357,0.0,0.0
HMR_3714,Steryl-Ester Acylhydrolase,Cholesterol metabolism,16889;12613,0.0,2.214413183569753e-12
DHPM1,"Dihydropyrimidinase (5,6-dihydrouracil)",Pyrimidine catabolism,22240;64705;12934,483.5646016812109,483.56460168120157
ARGORNt7,Arginine/ornithine antiporter,"Transport, extracellular",330836,-1000.0,1000.0
RE1526M,3-Hydroxyacyl Coenzyme A Dehydrogenase,Fatty acid oxidation,74147;15107;15108;15488,0.0,-3.0127011996228248e-12
PE17_HSABCt,Transport of 1-Heptadecanoylglycerophosphoethanolamine (C17:0 Pe),"Transport, extracellular",50770;320940,0.0,0.0
HMR_0810,Globoside Alpha-N-Acetylgalactosaminyltransferase,Glycosphingolipid metabolism,227671,0.0,-1.3642420526593924e-12
EX_M01111_e,EX M01111[e],Exchange/demand reaction,,0.0,-6.093614501878619e-11
HMR_0272,Palmitoyl Coenzyme A Hydrolase,Fatty acid oxidation,70025;12012;171210;217700;171281;171282,0.0,0.0
NTD6,5'-nucleotidase (dAMP),Nucleotide interconversion,230718;50773;70881;23959;107569;76952,0.0,-6.934897101018578e-12
CYTK10,"Cytidylate kinase (CMP,dGTP)",Nucleotide interconversion,66588,-1000.0,1000.0
PRPPS,Phosphoribosylpyrophosphate synthetase,Pentose phosphate pathway,110639;19139,1000.0000000000094,1000.0
