reaction_id,reaction_name,subsystem,genes,minimum,maximum
HMR_2215,Very-Long-Chain 3-Oxoacyl Coenzyme A Synthase,Fatty acid synthesis,170439;54326;54325;12686;74559;68801;83603,0.0,0.0
HPDECEm,Hydrolysis of Heptadecenoyl Coa,Fatty acid oxidation,70025;171210;170789;66834,0.0,0.0
r0750,"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane:NADP+ oxidoreductase (B-specific); 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane:NADP+ oxidoreductase Bile acid biosynthesis EC:1.1.1.50",Bile acid synthesis,83702,0.0,1000.0
ADMDC,Adenosylmethionine decarboxylase,Arginine and proline metabolism,100041585;11702,0.0,0.0
HMR_0290,Palmitoyl Coenzyme A Hydrolase,Fatty acid oxidation,171210;217700;70025;171282;171281;12012,0.0,0.0
HMR_2621,HMR 2621,"Transport, mitochondrial",207151;236149;20517;236293;434674;319800;57279;214663;30805;171405,8.851332365468676e-13,0.0
HMR_2989,Long-Chain-Fatty-Acid Coenzyme A Ligase,Fatty acid synthesis,433256;14081;216739;26458;74205;50790;94180;328845,0.0,0.0
GUACYC,Guanylate cyclase,Nucleotide interconversion,18160;245650;14917;234889;14919;60596;54195;230103,0.0,0.0
PEAR_HSABCt,Transport of 1-Arachidonoyl-Sn-Glycero-3-Phosphoethanolamine,"Transport, extracellular",50770;320940,0.0,0.0
MDRPD,5-Methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase,Arginine and proline metabolism,,0.0,0.0
GK1,Guanylate kinase (GMP:ATP),Nucleotide interconversion,14923,7.9002394719578675,7.900239471953455
HMR_8476,HMR 8476,"Transport, nuclear",63959;13340,-257.9564068493944,742.0435931505583
RE3120C,RE3120,Fatty acid oxidation,170439;54326;68801;83603,0.0,0.0
PGL,6-phosphogluconolactonase,Pentose phosphate pathway,66171,0.0,1.9895196601282805e-12
DM_pcreat_c,"Demand for  Phosphocreatine,  Cytosolic",Exchange/demand reaction,,0.0,0.0
GASNASE2ly,"Glycosylasparaginase, lysosomal",N-glycan degradation,11593,0.0,0.0
EX_didecaeth_e,"Exchange of C12:0-Ethanolamide, Didecanoyl Ethanolamide",Exchange/demand reaction,,0.0,0.0
HMR_3670,Acyl Coenzyme A:Cholesterol O-Acyltransferase,Cholesterol metabolism,223920;20652,0.0,0.0
RE3241C,RE3241,Fatty acid synthesis,170439;54326;68801;83603,0.0,-1.2189755377928829e-12
RE2999M,Dodecenoyl Coenzyme A Isomerase,Fatty acid oxidation,23986;74147;13177,0.0,0.0
PNTK,Pantothenate kinase,CoA synthesis,269614;75735;74450;211347,0.0,0.0
XOLEST183CEH,"Hydrolysis of 1-Gamma-Linolenoyl-Cholesterol, Cholesterol-Ester (18:3, Delta 6, 9, 12)",Cholesterol metabolism,12613;16889,0.0,0.0
HMR_0814,"Alpha-N-Acetylneuraminate Alpha-2, 8-Sialyltransferase",Glycosphingolipid metabolism,20449,0.0,0.0
RE3178M,3-Hydroxyacyl Coenzyme A Dehydrogenase,Fatty acid oxidation,97212;74147;15488;15107;231086;15108,0.0,0.0
r2225,Resistance-Nodulation-Cell Division (RND) TCDB:2.A.60.1.5,"Transport, extracellular",101488,0.0,1000.0
PHYHx,"Phytanoyl-CoA dioxygenase, peroxisomal",Fatty acid oxidation,16922,0.0,0.0
GARFT,Phosphoribosylglycinamide formyltransferase,Purine synthesis,14450,0.0,0.0
r2093,Major Facilitator(MFS) TCDB:2.A.1.13.1,"Transport, extracellular",20501,-1000.0,1000.0
HMR_8579,Alpha-Amylase,Starch and sucrose metabolism,11722;100043684;100043686;100043688;109959,100.00000000000182,100.0
THYOXt2,T4 transport via facilitated diffusion,"Transport, extracellular",20502,-1000.0,1000.0
GLYOXm,Hydroxyacylglutathione hydrolase  mitochondrial,Pyruvate metabolism,14651,0.0,-1.6150547612203696e-12
ACNAMlt,N-acetylneuraminate transport into lysososme,"Transport, lysosomal",235504,0.0,0.0
RE3168C,RE3168,Fatty acid oxidation,,0.0,0.0
PPM,Phosphopentomutase,Pentose phosphate pathway,66681;72157,890.3322289543437,890.332228954327
PCHOLMYR_HsABCt,Transport of 1-Myristoylglycerophosphocholine,"Transport, extracellular",54667;11303;54670;11982;18670,0.0,0.0
PI3P4K,Phosphatidylinositol 3-phosphate 4-kinase,Inositol phosphate metabolism,84095;18719;18720;224020;18717;107650,0.0,0.0
HMR_3651,Acyl Coenzyme A:Cholesterol O-Acyltransferase,Cholesterol metabolism,223920;20652,0.0,0.0
EX_hepdeceth_e,Exchange of Heptadecanoyl Thanolamide (C17:0),Exchange/demand reaction,,0.0,0.0
HMR_2263,Very-Long-Chain 3-Oxoacyl Coenzyme A Synthase,Fatty acid synthesis,170439;54326;54325;12686;74559;68801;83603,0.0,-2.1221543041368327e-12
r1150,Facilitated diffusion,"Transport, lysosomal",,0.0,31.329399501127952
NDPK3m,"ATP:CDP phosphotransferase, mitochondria",Nucleotide interconversion,56520;54369,0.0,0.0
FAOXC164C165x,"Fatty Acid Beta Oxidation (C16:4->C16:5), Peroxisomal",Fatty acid oxidation,11430,0.0,0.0
HMR_2264,Very-Long-Chain 3-Oxoacyl Coenzyme A Reductase,Fatty acid synthesis,56348,0.0,0.0
HMR_3627,Acyl Coenzyme A:Cholesterol O-Acyltransferase,Cholesterol metabolism,223920;20652,0.0,0.0
PCHOLN1836_HSABCt,"Transport of 1-Octadeca-Trienoylglycerophosphocholine, Sn1-Lpc (18:3, Delta 6, 9, 12)","Transport, extracellular",54667;11303;54670;11982;18670,0.0,0.0
RE3169C,RE3169,Fatty acid oxidation,,0.0,0.0
BUTt,Butyrate transport (diffusion),"Transport, extracellular",14080;12140;14077;16592;26457;16204;12491;225579;26568;26569;75497;11770;21884,-1000.0,1000.0
HSD3A2r,3 alpha-hydroxysteroid dehydrogenase (type 3),Steroid metabolism,83702,-1000.0,1000.0
NAt5,Sodium/ammonium proton antiporter,"Transport, extracellular",20544;105243;226999,-1000.0,1000.0
HMR_3205,Acetyl Coenzyme A C-Acyltransferase,Fatty acid oxidation,231086;97212;52538,0.0,0.0
PGDI,Prostaglandin-H2 D-isomerase [Precursor],Eicosanoid metabolism,19215;54486,-1000.0,1000.0
GALASE18ly,"Beta-galactosidase, lysosomal",Keratan sulfate degradation,50917;18010;19025;12091,0.0,0.0
EX_strch1_e,"Starch, structure 1 (1,6-{7[1,4-Glc], 4[1,4-Glc]}) exchange",Exchange/demand reaction,,0.0,0.0
R01115,R01115,Aminosugar metabolism,12764,0.0,0.0
3MOX4HOXPGALDOX_NADP,3-Methoxy-4-hydroxyphenylglycolaldehyde:NADP+ oxidoreductase,Tyrosine metabolism,67689;73458;621603;56847;11670,0.0,0.0
HMR_3664,Acyl Coenzyme A:Cholesterol O-Acyltransferase,Cholesterol metabolism,223920;20652,0.0,0.0
HMR_2348,Very-Long-Chain 3-Oxoacyl Coenzyme A Reductase,Fatty acid synthesis,56348,0.0,0.0
HMR_2622,Carnitine O-Acetyltransferase,"Transport, mitochondrial",12896;12908,1.0989727646422882e-12,0.0
MI1345PP,"D-myo-Inositol 1,3,4,5-tetrakisphosphate 5-phosphohydrolase",Inositol phosphate metabolism,16331;16332;64436;170835;212111;16330;104015,0.0,0.0
r0220_1,Propinol Adenylate:Coa Ligase (AMP-Forming) Ec:6.2.1.17 Ec:6.2.1.1,Miscellaneous,380660;60525;68738,0.0,-1.1368683772161603e-12
ADRNCRNt,Transport into the mitochondria (carnitine),Fatty acid oxidation,57279,-1000.0,1000.0
RE3103C,RE3103,Fatty acid oxidation,170439;54326;68801;83603,0.0,0.0
RE2998M,Acyl Coenzyme A Oxidase,Fatty acid oxidation,11430,0.0,0.0
BILIRED2,Nadh biliverdin reductase,Heme synthesis,233016;109778,0.0,0.0
r0541,"Glutaryl Coenzyme A: (Acceptor) 2, 3-Oxidoreductase (Decarboxylating)",Tryptophan metabolism,270076,0.0,0.0
GLCNACT3g,Alpha-N-acetylglucosaminyltransferase II,Chondroitin synthesis,54616;14043;56219;14042,0.0,0.0
HMR_2364,Very-Long-Chain Enoyl Coenzyme A Reductase,Fatty acid synthesis,106529;243078,0.0,-1.1463422803596284e-12
ST6GALNAC31_1,"Alpha-N-Acetylgalactosaminide Alpha-2, 6-Sialyltransferase 3",Sphingolipid metabolism,20447;26938;50935,0.0,0.0
CHOLK,Choline kinase,Glycerophospholipid metabolism,12651;12660,0.0,0.0
HMR_3704,Steryl-Ester Acylhydrolase,Cholesterol metabolism,12613;16889,0.0,0.0
SPHS1Ptr,Sphingosine-1-phosphate transport,"Transport, endoplasmic reticular",,0.0,0.0
HMR_3425,Enoyl Coenzyme A Hydratase,Fatty acid oxidation,229211;97212;235674;93747;52538;231086;11363;11364;15107;11370;15108,0.0,0.0
