reaction_id,reaction_name,subsystem,genes,minimum,maximum
UAGDP,UDP-N-acetylglucosamine diphosphorylase,Aminosugar metabolism,107652;227620,0.0,0.0
AMY1e,"Alpha-amylase, extracellular (strch1 -> strch2)",Starch and sucrose metabolism,17254;109959;11722;100043684;30962;20532;100043686;100043688,0.0,0.0
EX_n5m2masn_e,EX n5m2masn[e],Exchange/demand reaction,,-100.0,0.0
BTNt2i,Biotin uptake,"Transport, extracellular",20501,-1000.0,100.0
HMR_3708,Steryl-Ester Acylhydrolase,Cholesterol metabolism,12613;16889,0.0,0.0
EX_3octdece1crn_e,Exchange of 3-Hydroxy-Octadecenoyl Carnitine,Exchange/demand reaction,,0.0,0.0
NDP7ex,"Nucleoside-diphosphatase (UDP), extracellular",Nucleotide interconversion,76025;72090;12495;215446,0.0,0.0
r0795,Spontaneous reaction,Miscellaneous,,0.0,0.0
ACOAD8m,Isovaleryl-coa dehydrogenase,"Valine, leucine, and isoleucine metabolism",56357,0.0,0.0
HMR_3714,Steryl-Ester Acylhydrolase,Cholesterol metabolism,12613;16889,0.0,0.0
DHPM1,"Dihydropyrimidinase (5,6-dihydrouracil)",Pyrimidine catabolism,22240;64705;12934,461.01727064786024,461.0172706478776
ARGORNt7,Arginine/ornithine antiporter,"Transport, extracellular",330836,-1000.0,1000.0
RE1526M,3-Hydroxyacyl Coenzyme A Dehydrogenase,Fatty acid oxidation,74147;15107;15108;15488,0.0,0.0
PE17_HSABCt,Transport of 1-Heptadecanoylglycerophosphoethanolamine (C17:0 Pe),"Transport, extracellular",50770;320940,0.0,0.0
HMR_0810,Globoside Alpha-N-Acetylgalactosaminyltransferase,Glycosphingolipid metabolism,227671,0.0,0.0
EX_M01111_e,EX M01111[e],Exchange/demand reaction,,99.99999999998894,100.0
HMR_0272,Palmitoyl Coenzyme A Hydrolase,Fatty acid oxidation,171210;70025;12012;171281;171282;217700,0.0,0.0
NTD6,5'-nucleotidase (dAMP),Nucleotide interconversion,107569;70881;76952;50773;23959;230718,0.0,0.0
CYTK10,"Cytidylate kinase (CMP,dGTP)",Nucleotide interconversion,66588,-1000.0,1000.0
PRPPS,Phosphoribosylpyrophosphate synthetase,Pentose phosphate pathway,19139;110639,897.4320470686597,897.4320470687187
DPGase,Diphosphoglycerate phosphatase,Glycolysis/gluconeogenesis,56012;18648;12183,0.0,9.094947017729282e-13
AMY2e,"Alpha-amylase, extracellular (glygn2 -> glygn4)",Starch and sucrose metabolism,17254;109959;11722;100043684;30962;20532;100043686;100043688,0.0,0.0
HMR_0003,Triacylglycerol Lipase,Glycerophospholipid metabolism,116939;16890;16891;269060;12613;18946;18947;67717;67758;69060;231871;66853;15450,0.0,3.524291969370097e-12
PHYTt,Fatty acid transport via diffusion,"Transport, extracellular",,0.0,0.0
GGH_5DHFe,"Gamma-glutamyl hydrolase (5DHF), extracellular",Folate metabolism,14590,0.0,0.5628790116557383
EBP2r,"3-beta-hydroxysteroid-delta(8),delta(7)-isomerase",Cholesterol metabolism,13595,0.0,0.0
ACS2,Acetyl-CoA synthase (propionate),Propanoate metabolism,78894;60525,0.0,0.0
EX_fvs_e,Exchange reaction for fluvastatin in intestinal lumen,Exchange/demand reaction,,-100.0,-100.00000000000014
C160CRNt,C160 transport into the mitochondria,Fatty acid oxidation,57279,-1000.0,823.398278349388
