"Reaction ID","Reaction Name","Flux","Subsystem"
"DHPM1","Dihydropyrimidinase (5,6-dihydrouracil)",490.087384876796,"Pyrimidine catabolism"
"EX_M01111_e","EX M01111[e]",100,"Exchange/demand reaction"
"PRPPS","Phosphoribosylpyrophosphate synthetase",509.912615123204,"Pentose phosphate pathway"
"EX_fvs_e","Exchange reaction for fluvastatin in intestinal lumen",-100,"Exchange/demand reaction"
"C160CRNt","C160 transport into the mitochondria",-148.03066643329,"Fatty acid oxidation"
"GLUDym","Glutamate dehydrogenase (NADP), mitochondrial",351.96933356671,"Glutamate metabolism"
"R00100","R01803",-500,NA
"LDH_Lm","L-lactate dehydrogenase, mitochondria",243.493675496345,"Pyruvate metabolism"
"DATPtn","DATP diffusion in nucleus",2.27236456408636,"Transport, nuclear"
"LDH_L","L-lactate dehydrogenase",-772.628218643553,"Glycolysis/gluconeogenesis"
"DEOXFVShc","Formation of deoxy-fluvastatin-dinor",100,"Drug metabolism"
"PHPYRte","Transport of Phenylpyruvate via Proton Symport",100,"Transport, extracellular"
"AKGDm","2-oxoglutarate dehydrogenase",493.598613456585,"Citric acid cycle"
"GK1","Guanylate kinase (GMP:ATP)",10.188149884312,"Nucleotide interconversion"
"HMR_8476","HMR 8476",340.636095574482,"Transport, nuclear"
"HMR_8579","Alpha-Amylase",100,"Starch and sucrose metabolism"
"PPM","Phosphopentomutase",1000,"Pentose phosphate pathway"
"TPI","Triose-phosphate isomerase",425.991332532636,"Glycolysis/gluconeogenesis"
"DUTCP","DUTP:cytidine 5'-phosphotransferase",-794.514664835216,"Nucleotide interconversion"
"PGMT","Phosphoglucomutase",357.320316704812,"Glycolysis/gluconeogenesis"
"H2Ot","H2O transport via diffusion",1000,"Transport, extracellular"
"SSALxm","Succinate-semialdehyde:NAD+ oxidoreductase, mitochondria",-1000,"Glutamate metabolism"
"GSNt","Guanosine facilated transport in cytosol",-100,"Transport, extracellular"
"CSNATm","Carnitine O aceyltransferase  mitochondrial",-900,"Fatty acid oxidation"
"DURIK1","Deoxyuridine kinase (ATP:Deoxyuridine)",43.250573130192,"Nucleotide interconversion"
"RE0915E","Alpha-Amylase",-200,"Starch and sucrose metabolism"
"GCC2cm","Glycine cleavage complex  lipoamide   mitochondrial",215.082641961621,"Glycine, serine, alanine, and threonine metabolism"
"GLPASE2","Glycogen phosphorylase (amyls -> glc-D)",119.106772234937,"Starch and sucrose metabolism"
"O2St","Superoxide anion transport via diffusion (extracellular)",-100,"Transport, extracellular"
"HMR_3116","Enoyl Coenzyme A Hydratase",148.03066643329,"Fatty acid oxidation"
"DAGK_hs","Diacylglycerol phosphate kinase (homo sapiens)",280.827122323288,"Glycerophospholipid metabolism"
"CLS_hs","Cardiolipin synthase (homo sapiens)",2.00949905849338,"Glycerophospholipid metabolism"
"CHAT","Choline O-acetyltransferase",1000,"Glycerophospholipid metabolism"
"LDH_D","D-lactate dehydrogenase",100,"Pyruvate metabolism"
"GLPASE1","Glycogen phosphorylase (glygn2 -> dxtrn)",119.106772234937,"Starch and sucrose metabolism"
"GAPD","Glyceraldehyde-3-phosphate dehydrogenase",1000,"Glycolysis/gluconeogenesis"
"CGLYt3_2","Cys-Gly transport in via proton symport",296.985923783083,"Transport, extracellular"
"D_LACt2","D lactate transport via proton symport",100,"Transport, extracellular"
"ELAIDCRNt","Transport into the mitochondria (carnitine)",148.03066643329,"Fatty acid oxidation"
"PGPPT","Phosphatidyl-CMP: glycerophosphate phosphatidyltransferase",2.51178763770505,"Glycerophospholipid metabolism"
"ACRNtp","Acetylcarnitine transport out of peroxisome",-900,"Transport, peroxisomal"
