"Reaction ID","Reaction Name","Flux","Subsystem"
"DHPM1","Dihydropyrimidinase (5,6-dihydrouracil)",437.404158069158,"Pyrimidine catabolism"
"PRPPS","Phosphoribosylpyrophosphate synthetase",562.595841930842,"Pentose phosphate pathway"
"EX_fvs_e","Exchange reaction for fluvastatin in intestinal lumen",-100,"Exchange/demand reaction"
"R00100","R01803",-500,NA
"LDH_Lm","L-lactate dehydrogenase, mitochondria",821.218339070259,"Pyruvate metabolism"
"DATPtn","DATP diffusion in nucleus",2.20834503672964,"Transport, nuclear"
"DEOXFVShc","Formation of deoxy-fluvastatin-dinor",100,"Drug metabolism"
"PHPYRte","Transport of Phenylpyruvate via Proton Symport",100,"Transport, extracellular"
"AKGDm","2-oxoglutarate dehydrogenase",200.742513688049,"Citric acid cycle"
"GK1","Guanylate kinase (GMP:ATP)",7.70818454563573,"Nucleotide interconversion"
"HMR_8476","HMR 8476",583.567462161917,"Transport, nuclear"
"HMR_8579","Alpha-Amylase",100,"Starch and sucrose metabolism"
"PPM","Phosphopentomutase",1000,"Pentose phosphate pathway"
"NDPK3m","ATP:CDP phosphotransferase, mitochondria",94.0750084237933,"Nucleotide interconversion"
"RE2998M","Acyl Coenzyme A Oxidase",13.3642734763776,"Fatty acid oxidation"
"TPI","Triose-phosphate isomerase",475.878795576988,"Glycolysis/gluconeogenesis"
"DUTCP","DUTP:cytidine 5'-phosphotransferase",-294.075008423793,"Nucleotide interconversion"
"PGMT","Phosphoglucomutase",364.455464848192,"Glycolysis/gluconeogenesis"
"AMACR2p","Alpha-methylacyl-CoA racemase (reductase)",14.899093190289,"Bile acid synthesis"
"SSALxm","Succinate-semialdehyde:NAD+ oxidoreductase, mitochondria",-1000,"Glutamate metabolism"
"GSNt","Guanosine facilated transport in cytosol",-100,"Transport, extracellular"
"CSNATm","Carnitine O aceyltransferase  mitochondrial",-900,"Fatty acid oxidation"
"DURIK1","Deoxyuridine kinase (ATP:Deoxyuridine)",583.567462161917,"Nucleotide interconversion"
"HMR_1102","Carbonyl Reductase (NADPH)",895.838364006463,"Leukotriene metabolism"
"DHAAt1r","Dehydroascorbate transport (uniport)",-100,"Transport, extracellular"
"RE0915E","Alpha-Amylase",-200,"Starch and sucrose metabolism"
"GCC2cm","Glycine cleavage complex  lipoamide   mitochondrial",981.463388491674,"Glycine, serine, alanine, and threonine metabolism"
"GLPASE2","Glycogen phosphorylase (amyls -> glc-D)",121.485154949397,"Starch and sucrose metabolism"
"O2St","Superoxide anion transport via diffusion (extracellular)",-100,"Transport, extracellular"
"DAGK_hs","Diacylglycerol phosphate kinase (homo sapiens)",305.473361651329,"Glycerophospholipid metabolism"
"r1454","TCDB:2.A.1.13.5 TCDB:2.A.1.13.1",2.128441884327,"Transport, mitochondrial"
"CLS_hs","Cardiolipin synthase (homo sapiens)",1.95288526421862,"Glycerophospholipid metabolism"
"CHAT","Choline O-acetyltransferase",1000,"Glycerophospholipid metabolism"
"MALTSULtm","Malate:thiosulfate antiport, mitochondrial",-1000,"Transport, mitochondrial"
"LDH_D","D-lactate dehydrogenase",100,"Pyruvate metabolism"
"CSNATr","Carnitine O acetyltransferase",-900,"Fatty acid oxidation"
"GLPASE1","Glycogen phosphorylase (glygn2 -> dxtrn)",121.485154949397,"Starch and sucrose metabolism"
"GAPD","Glyceraldehyde-3-phosphate dehydrogenase",1000,"Glycolysis/gluconeogenesis"
"RNDR2","Ribonucleoside-diphosphate reductase (GDP)",1.65805955955029,"Nucleotide interconversion"
"D_LACt2","D lactate transport via proton symport",100,"Transport, extracellular"
"PGPPT","Phosphatidyl-CMP: glycerophosphate phosphatidyltransferase",2.44102282297082,"Glycerophospholipid metabolism"
"r1670","Y+LAT2 Utilized transport",-5.96041036515044,"Transport, extracellular"
"2HBO","2 HydroxybutyrateNAD oxidoreductase",-2.128441884327,"Propanoate metabolism"
"HMGCOAR","Hydroxymethylglutaryl CoA reductase",150.915223681982,"Cholesterol metabolism"
"TRDR","Thioredoxin reductase (NADPH)",109.833944882137,"Nucleotide interconversion"
"DURAD","Dihydrouracil dehydrogenase (NADP)",-437.404158069158,"Pyrimidine catabolism"
"r0641","(5-Glutamyl)-peptide:amino-acid 5-glutamyltransferase Arachidonic acid metabolism EC:2.3.2.2",100,"Fatty acid oxidation"
"PCm","Pyruvate carboxylase",358.622497139417,"Pyruvate metabolism"
