"Reaction ID","Reaction Name","Flux","Subsystem"
"DHPM1","Dihydropyrimidinase (5,6-dihydrouracil)",474.906026976217,"Pyrimidine catabolism"
"EX_M01111_e","EX M01111[e]",100,"Exchange/demand reaction"
"PRPPS","Phosphoribosylpyrophosphate synthetase",1000,"Pentose phosphate pathway"
"EX_fvs_e","Exchange reaction for fluvastatin in intestinal lumen",-100,"Exchange/demand reaction"
"C160CRNt","C160 transport into the mitochondria",-379.375420117957,"Fatty acid oxidation"
"R00100","R01803",-500,NA
"MTHFD2i","Methylenetetrahydrofolate dehydrogenase  NAD",-1000,"Folate metabolism"
"LDH_Lm","L-lactate dehydrogenase, mitochondria",703.581989960842,"Pyruvate metabolism"
"DATPtn","DATP diffusion in nucleus",2.27892025606613,"Transport, nuclear"
"DEOXFVShc","Formation of deoxy-fluvastatin-dinor",100,"Drug metabolism"
"PHPYRte","Transport of Phenylpyruvate via Proton Symport",100,"Transport, extracellular"
"AKGDm","2-oxoglutarate dehydrogenase",676.509607744273,"Citric acid cycle"
"r0750","3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane:NADP+ oxidoreductase (B-specific); 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane:NADP+ oxidoreductase Bile acid biosynthesis EC:1.1.1.50",49.7108814363048,"Bile acid synthesis"
"GK1","Guanylate kinase (GMP:ATP)",7.95452594878882,"Nucleotide interconversion"
"HMR_8579","Alpha-Amylase",100,"Starch and sucrose metabolism"
"GLYOXm","Hydroxyacylglutathione hydrolase  mitochondrial",64.6163994702127,"Pyruvate metabolism"
"PPM","Phosphopentomutase",888.002780498275,"Pentose phosphate pathway"
"TPI","Triose-phosphate isomerase",273.955062982894,"Glycolysis/gluconeogenesis"
"DUTCP","DUTP:cytidine 5'-phosphotransferase",-100,"Nucleotide interconversion"
"PGMT","Phosphoglucomutase",336.366460604636,"Glycolysis/gluconeogenesis"
"SSALxm","Succinate-semialdehyde:NAD+ oxidoreductase, mitochondria",-1000,"Glutamate metabolism"
"CSNATm","Carnitine O aceyltransferase  mitochondrial",-1000,"Fatty acid oxidation"
"DHAAt1r","Dehydroascorbate transport (uniport)",-87.7252210595747,"Transport, extracellular"
"RE0915E","Alpha-Amylase",-200,"Starch and sucrose metabolism"
"GCC2cm","Glycine cleavage complex  lipoamide   mitochondrial",242.847349563477,"Glycine, serine, alanine, and threonine metabolism"
"GLPASE2","Glycogen phosphorylase (amyls -> glc-D)",112.122153534879,"Starch and sucrose metabolism"
"O2St","Superoxide anion transport via diffusion (extracellular)",-100,"Transport, extracellular"
"HMR_3116","Enoyl Coenzyme A Hydratase",379.375420117957,"Fatty acid oxidation"
"ACONTm","Aconitate hydratase",-476.82262852986,"Citric acid cycle"
