"Reaction ID","Reaction Name","Flux","Subsystem"
"DHPM1","Dihydropyrimidinase (5,6-dihydrouracil)",483.401546833067,"Pyrimidine catabolism"
"EX_M01111_e","EX M01111[e]",2.61621438606312,"Exchange/demand reaction"
"PRPPS","Phosphoribosylpyrophosphate synthetase",1000,"Pentose phosphate pathway"
"GGH_5DHFe","Gamma-glutamyl hydrolase (5DHF), extracellular",25,"Folate metabolism"
"EX_fvs_e","Exchange reaction for fluvastatin in intestinal lumen",-100,"Exchange/demand reaction"
"R00100","R01803",-500,NA
"LDH_Lm","L-lactate dehydrogenase, mitochondria",779.002495712147,"Pyruvate metabolism"
"DATPtn","DATP diffusion in nucleus",2.26498503121301,"Transport, nuclear"
"LDH_L","L-lactate dehydrogenase",-679.002495712147,"Glycolysis/gluconeogenesis"
"DEOXFVShc","Formation of deoxy-fluvastatin-dinor",100,"Drug metabolism"
"PHPYRte","Transport of Phenylpyruvate via Proton Symport",100,"Transport, extracellular"
"AKGDm","2-oxoglutarate dehydrogenase",962.424905690168,"Citric acid cycle"
"GK1","Guanylate kinase (GMP:ATP)",7.90588532286024,"Nucleotide interconversion"
"HMR_8579","Alpha-Amylase",100,"Starch and sucrose metabolism"
"PPM","Phosphopentomutase",888.076141534461,"Pentose phosphate pathway"
"TPI","Triose-phosphate isomerase",231.512204951677,"Glycolysis/gluconeogenesis"
"DUTCP","DUTP:cytidine 5'-phosphotransferase",-100,"Nucleotide interconversion"
"PGMT","Phosphoglucomutase",336.37339201275,"Glycolysis/gluconeogenesis"
"AMACR2p","Alpha-methylacyl-CoA racemase (reductase)",151.574214651185,"Bile acid synthesis"
"SSALxm","Succinate-semialdehyde:NAD+ oxidoreductase, mitochondria",-1000,"Glutamate metabolism"
"GSNt","Guanosine facilated transport in cytosol",-100,"Transport, extracellular"
"CSNATm","Carnitine O aceyltransferase  mitochondrial",-483.401546833067,"Fatty acid oxidation"
"UMPK2","UMP kinase (CTP)",100,"Nucleotide interconversion"
"DHAAt1r","Dehydroascorbate transport (uniport)",-63.357785348815,"Transport, extracellular"
"RE0915E","Alpha-Amylase",-200,"Starch and sucrose metabolism"
"GCC2cm","Glycine cleavage complex  lipoamide   mitochondrial",18.7875471549161,"Glycine, serine, alanine, and threonine metabolism"
"GLPASE2","Glycogen phosphorylase (amyls -> glc-D)",112.12446400425,"Starch and sucrose metabolism"
"O2St","Superoxide anion transport via diffusion (extracellular)",-100,"Transport, extracellular"
"DAGK_hs","Diacylglycerol phosphate kinase (homo sapiens)",3.00428796600096,"Glycerophospholipid metabolism"
"r1454","TCDB:2.A.1.13.5 TCDB:2.A.1.13.1",21.6534592358836,"Transport, mitochondrial"
"CLS_hs","Cardiolipin synthase (homo sapiens)",2.00297318469857,"Glycerophospholipid metabolism"
"CHAT","Choline O-acetyltransferase",583.401546833067,"Glycerophospholipid metabolism"
"LDH_D","D-lactate dehydrogenase",100,"Pyruvate metabolism"
