"Reaction ID","Reaction Name","Flux","Subsystem"
"DHPM1","Dihydropyrimidinase (5,6-dihydrouracil)",474.906402579331,"Pyrimidine catabolism"
"EX_M01111_e","EX M01111[e]",100,"Exchange/demand reaction"
"PRPPS","Phosphoribosylpyrophosphate synthetase",1000,"Pentose phosphate pathway"
"EX_fvs_e","Exchange reaction for fluvastatin in intestinal lumen",-100,"Exchange/demand reaction"
"R00100","R01803",-488.002813765677,NA
"LDH_Lm","L-lactate dehydrogenase, mitochondria",768.418687618241,"Pyruvate metabolism"
"DATPtn","DATP diffusion in nucleus",2.26981158305501,"Transport, nuclear"
"LDH_L","L-lactate dehydrogenase",-668.418687618241,"Glycolysis/gluconeogenesis"
"ACONT","Aconitate hydratase",-479.269161147034,"Citric acid cycle"
"DEOXFVShc","Formation of deoxy-fluvastatin-dinor",100,"Drug metabolism"
"PHPYRte","Transport of Phenylpyruvate via Proton Symport",100,"Transport, extracellular"
"AKGDm","2-oxoglutarate dehydrogenase",882.454700103319,"Citric acid cycle"
"GK1","Guanylate kinase (GMP:ATP)",7.92273230632453,"Nucleotide interconversion"
"HMR_8476","HMR 8476",655.971597076463,"Transport, nuclear"
"HMR_8579","Alpha-Amylase",100,"Starch and sucrose metabolism"
"PPM","Phosphopentomutase",890.304703766834,"Pentose phosphate pathway"
"TPI","Triose-phosphate isomerase",274.727217132438,"Glycolysis/gluconeogenesis"
"DUTCP","DUTP:cytidine 5'-phosphotransferase",-100,"Nucleotide interconversion"
"PGMT","Phosphoglucomutase",336.370991276418,"Glycolysis/gluconeogenesis"
"AMACR2p","Alpha-methylacyl-CoA racemase (reductase)",116.95802,"Bile acid synthesis"
"H2Ot","H2O transport via diffusion",200,"Transport, extracellular"
"SSALxm","Succinate-semialdehyde:NAD+ oxidoreductase, mitochondria",-1000,"Glutamate metabolism"
"GSNt","Guanosine facilated transport in cytosol",-100,"Transport, extracellular"
"CSNATm","Carnitine O aceyltransferase  mitochondrial",-504.956002412755,"Fatty acid oxidation"
"DURIK1","Deoxyuridine kinase (ATP:Deoxyuridine)",72.1212220252184,"Nucleotide interconversion"
"DHAAt1r","Dehydroascorbate transport (uniport)",-100,"Transport, extracellular"
"RE0915E","Alpha-Amylase",-200,"Starch and sucrose metabolism"
"GCC2cm","Glycine cleavage complex  lipoamide   mitochondrial",88.8222497817645,"Glycine, serine, alanine, and threonine metabolism"
"GLPASE2","Glycogen phosphorylase (amyls -> glc-D)",112.123663758806,"Starch and sucrose metabolism"
"O2St","Superoxide anion transport via diffusion (extracellular)",-100,"Transport, extracellular"
"DAGK_hs","Diacylglycerol phosphate kinase (homo sapiens)",37.6188671889849,"Glycerophospholipid metabolism"
"r1454","TCDB:2.A.1.13.5 TCDB:2.A.1.13.1",16.7082885714286,"Transport, mitochondrial"
