"Reaction ID","Reaction Name","Flux","Subsystem"
"DHPM1","Dihydropyrimidinase (5,6-dihydrouracil)",450.532382901342,"Pyrimidine catabolism"
"EX_M01111_e","EX M01111[e]",100,"Exchange/demand reaction"
"PRPPS","Phosphoribosylpyrophosphate synthetase",1000,"Pentose phosphate pathway"
"EX_fvs_e","Exchange reaction for fluvastatin in intestinal lumen",-100,"Exchange/demand reaction"
"GLUDym","Glutamate dehydrogenase (NADP), mitochondrial",-678.865403556279,"Glutamate metabolism"
"R00100","R01803",-500,NA
"MTHFD2i","Methylenetetrahydrofolate dehydrogenase  NAD",-1000,"Folate metabolism"
"LDH_Lm","L-lactate dehydrogenase, mitochondria",791.836930750386,"Pyruvate metabolism"
"ALAPAT4te","Transport of Alanine via Pat4",-100,"Transport, extracellular"
"DATPtn","DATP diffusion in nucleus",2.26707257444434,"Transport, nuclear"
"CPK1","Adenylate kinase",-232.383175606876,"Nucleotide interconversion"
"LDH_L","L-lactate dehydrogenase",-791.836930750386,"Glycolysis/gluconeogenesis"
"ACACT1r","Acetyl-CoA C-acetyltransferase",14.1316833333333,"Tryptophan metabolism"
"DEOXFVShc","Formation of deoxy-fluvastatin-dinor",100,"Drug metabolism"
"PHPYRte","Transport of Phenylpyruvate via Proton Symport",100,"Transport, extracellular"
"AKGDm","2-oxoglutarate dehydrogenase",507.799100082852,"Citric acid cycle"
"GK1","Guanylate kinase (GMP:ATP)",7.91317185110038,"Nucleotide interconversion"
"HMR_8476","HMR 8476",75.2233927282468,"Transport, nuclear"
"HMR_8579","Alpha-Amylase",100,"Starch and sucrose metabolism"
"GLYOXm","Hydroxyacylglutathione hydrolase  mitochondrial",14.1316833333333,"Pyruvate metabolism"
"PPM","Phosphopentomutase",1000,"Pentose phosphate pathway"
"TPI","Triose-phosphate isomerase",323.480839515163,"Glycolysis/gluconeogenesis"
"DUTCP","DUTP:cytidine 5'-phosphotransferase",-218.102326079529,"Nucleotide interconversion"
"PGMT","Phosphoglucomutase",336.372353664661,"Glycolysis/gluconeogenesis"
"H2Ot","H2O transport via diffusion",1000,"Transport, extracellular"
"SSALxm","Succinate-semialdehyde:NAD+ oxidoreductase, mitochondria",-1000,"Glutamate metabolism"
"GSNt","Guanosine facilated transport in cytosol",-100,"Transport, extracellular"
