"Reaction ID","Reaction Name","Flux","Subsystem"
"DHPM1","Dihydropyrimidinase (5,6-dihydrouracil)",483.564601681209,"Pyrimidine catabolism"
"PRPPS","Phosphoribosylpyrophosphate synthetase",1000,"Pentose phosphate pathway"
"EX_fvs_e","Exchange reaction for fluvastatin in intestinal lumen",-100,"Exchange/demand reaction"
"R00100","R01803",-474.403773459416,NA
"LDH_Lm","L-lactate dehydrogenase, mitochondria",916.720761190455,"Pyruvate metabolism"
"DATPtn","DATP diffusion in nucleus",2.23954143897665,"Transport, nuclear"
"LDH_L","L-lactate dehydrogenase",-916.720761190455,"Glycolysis/gluconeogenesis"
"DEOXFVShc","Formation of deoxy-fluvastatin-dinor",100,"Drug metabolism"
"PHPYRte","Transport of Phenylpyruvate via Proton Symport",100,"Transport, extracellular"
"AKGDm","2-oxoglutarate dehydrogenase",620.015217029636,"Citric acid cycle"
"GK1","Guanylate kinase (GMP:ATP)",7.81707496886213,"Nucleotide interconversion"
"HMR_8476","HMR 8476",498.012234208629,"Transport, nuclear"
"HMR_8579","Alpha-Amylase",100,"Starch and sucrose metabolism"
"PPM","Phosphopentomutase",888.210087582006,"Pentose phosphate pathway"
"TPI","Triose-phosphate isomerase",230.760362932931,"Glycolysis/gluconeogenesis"
"DUTCP","DUTP:cytidine 5'-phosphotransferase",-100,"Nucleotide interconversion"
"PGMT","Phosphoglucomutase",336.386047705323,"Glycolysis/gluconeogenesis"
"AMACR2p","Alpha-methylacyl-CoA racemase (reductase)",88.1643135157732,"Bile acid synthesis"
"H2Ot","H2O transport via diffusion",1000,"Transport, extracellular"
"SSALxm","Succinate-semialdehyde:NAD+ oxidoreductase, mitochondria",-1000,"Glutamate metabolism"
"CSNATm","Carnitine O aceyltransferase  mitochondrial",-715.831371107636,"Fatty acid oxidation"
"RE0915E","Alpha-Amylase",-200,"Starch and sucrose metabolism"
"GCC2cm","Glycine cleavage complex  lipoamide   mitochondrial",458.799397566719,"Glycine, serine, alanine, and threonine metabolism"
"GLPASE2","Glycogen phosphorylase (amyls -> glc-D)",112.128682568441,"Starch and sucrose metabolism"
"O2St","Superoxide anion transport via diffusion (extracellular)",-100,"Transport, extracellular"
